"year","month","HF_1","HF_2","PnET_1","PnET_2","PnET_3","Princeton"
1936,9,NA,NA,7.5,7.999,NA,10.7776072184245
1936,10,NA,NA,1.5,2.1825,NA,2.47670701549901
1936,11,NA,NA,1,-1.9215,NA,-1.53492635091144
1936,12,NA,NA,-10.3,-7.8835,NA,-5.65919563539564
1937,1,NA,NA,-11.5,-11.4205,NA,-11.5973901564075
1937,2,NA,NA,-14.8,-10.633,NA,-12.1271374293736
1937,3,NA,NA,-1.1,-5.186,NA,-4.34343616116429
1937,4,NA,NA,-0.6,0.543,NA,0.559629313151064
1937,5,NA,NA,6.2,6.2425,NA,5.8394714355469
1937,6,NA,NA,11,10.742,NA,12.2684234619141
1937,7,NA,NA,12.1,13.83,NA,14.3050594206779
1937,8,NA,NA,12.6,13.152,NA,12.5837390530494
